Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class
1,Keegan Murray,822,SAC,1,4,2022,Iowa,2021-22,Iowa,35,35,1116,307,554,241,388,66,166,142,190,100,203,303,52,45,68,39,65,822,0.554,0.621,0.398,0.747,0.638,0.614,F,SO
2,Ochai Agbaji,732,CLE,1,14,2022,Kansas,2021-22,Kansas,39,39,1367,258,543,155,290,103,253,113,152,32,165,197,62,36,22,80,65,732,0.475,0.534,0.407,0.743,0.595,0.57,G,SR
3,Paolo Banchero,671,ORL,1,1,2022,Duke,2021-22,Duke,39,39,1286,245,513,201,383,44,130,137,188,68,236,304,124,41,36,92,75,671,0.478,0.525,0.338,0.729,0.557,0.52,F,FR
4,Bennedict Mathurin,655,IND,1,6,2022,Arizona,2021-22,Arizona,37,37,1201,218,484,135,259,83,225,136,178,51,157,208,94,36,10,66,68,655,0.45,0.521,0.369,0.764,0.576,0.536,G,SO
5,Ryan Rollins,641,ATL,2,44,2022,Toledo,2021-22,Toledo,34,34,1111,232,496,185,345,47,151,130,162,23,180,203,123,59,9,76,83,641,0.468,0.536,0.311,0.802,0.559,0.515,G,SO
6,Jaden Ivey,624,DET,1,5,2022,Purdue,2021-22,Purdue,36,34,1132,203,441,139,262,64,179,154,207,24,152,176,110,33,20,94,63,624,0.46,0.531,0.358,0.744,0.579,0.533,G,SO
7,E.J. Liddell,621,NOH,2,41,2022,Ohio State,2021-22,Ohio State,32,32,1062,203,414,157,291,46,123,169,221,72,182,254,80,18,83,77,80,621,0.49,0.54,0.374,0.765,0.598,0.546,F,JR
8,Johnny Davis,612,WAS,1,10,2022,Wisconsin,2021-22,Wisconsin,31,31,1060,210,492,173,371,37,121,155,196,41,214,255,66,36,23,71,63,612,0.427,0.466,0.306,0.791,0.523,0.464,G,SO
9,David Roddy,595,PHI,1,23,2022,Colorado State,2021-22,Colorado State,31,31,1021,222,389,176,284,46,105,105,152,57,177,234,89,36,33,72,71,595,0.571,0.62,0.438,0.691,0.645,0.63,G,JR
10,Jalen Williams,594,OKC,1,12,2022,Santa Clara,2021-22,Santa Clara,33,33,1150,219,427,177,321,42,106,114,141,19,127,146,137,39,18,69,85,594,0.513,0.551,0.396,0.809,0.601,0.562,G,JR
11,Jabari Smith,576,HOU,1,3,2022,Auburn,2021-22,Auburn,34,34,978,183,427,104,239,79,188,131,164,32,220,252,68,37,35,63,70,576,0.429,0.435,0.42,0.799,0.57,0.521,F,FR
