Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,International Flag,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,WS
Luka Garza,747,DET,2,52,2021,Iowa,2020-21,Iowa,0,31,31,975,281,508,237,408,44,100,141,199,93,178,271,54,21,50,47,70,0.553,0.581,0.44,0.709,0.62,0.596,F,SR,0.8
Corey Kispert,595,WAS,1,15,2021,Gonzaga,2020-21,Gonzaga,0,32,32,1019,209,395,118,188,91,207,86,98,30,129,159,58,29,14,42,54,0.529,0.628,0.44,0.878,0.674,0.644,F,SR,2.3
Ayo Dosunmu,564,CHI,2,38,2021,Illinois,2020-21,Illinois,0,28,28,984,210,430,178,348,32,82,112,143,31,146,177,147,31,6,93,58,0.488,0.511,0.39,0.783,0.566,0.526,G,JR,3
Cade Cunningham,544,DET,1,1,2021,Oklahoma State,2020-21,Oklahoma State,0,27,26,956,175,400,113,245,62,155,132,156,19,148,167,94,43,21,109,67,0.438,0.461,0.4,0.846,0.574,0.515,G,FR,-0.5
Evan Mobley,540,CLE,1,3,2021,Southern California,2020-21,Southern California,0,33,33,1120,197,341,185,301,12,40,134,193,90,196,286,79,26,95,74,58,0.578,0.615,0.3,0.694,0.624,0.595,F,FR,5.2
Moses Moody,539,GSW,1,14,2021,Arkansas,2020-21,Arkansas,0,32,32,1082,165,386,107,224,58,162,151,186,64,120,184,51,33,21,52,74,0.427,0.478,0.358,0.812,0.568,0.503,G,FR,1.3
Quentin Grimes,535,LAC,1,25,2021,Houston,2020-21,Houston,0,30,30,984,173,426,73,178,100,248,89,113,48,123,171,59,42,9,55,66,0.406,0.41,0.403,0.788,0.558,0.523,G,JR,1.4
Jared Butler,502,NOH,2,40,2021,Baylor,2020-21,Baylor,0,30,30,910,177,376,100,191,77,185,71,91,13,86,99,144,59,11,85,73,0.471,0.524,0.416,0.78,0.599,0.573,G,JR,0.4
Charles Bassey,494,PHI,2,53,2021,Western Kentucky,2020-21,Western Kentucky,0,28,28,851,194,329,176,270,18,59,88,116,92,233,325,19,11,87,62,67,0.59,0.652,0.305,0.759,0.643,0.617,C,JR,0.8
Sandro Mamukelashvili,473,IND,2,54,2021,Seton Hall,2020-21,Seton Hall,0,27,27,961,168,387,126,262,42,125,95,133,50,154,204,87,29,15,89,47,0.434,0.481,0.336,0.714,0.525,0.488,F,SR,1.1
Kessler Edwards,465,NJN,2,44,2021,Pepperdine,2020-21,Pepperdine,0,27,26,916,164,334,119,215,45,119,92,105,33,151,184,33,26,33,49,58,0.491,0.553,0.378,0.876,0.606,0.558,F,JR,0.6
Joe Wieskamp,460,SAS,2,41,2021,Iowa,2020-21,Iowa,0,31,31,907,161,328,88,170,73,158,65,96,37,169,206,53,29,10,43,48,0.491,0.518,0.462,0.677,0.616,0.602,G,JR,0.1
Miles McBride,460,OKC,2,36,2021,West Virginia,2020-21,West Virginia,0,29,28,991,157,364,111,253,46,111,100,123,34,79,113,140,55,9,53,49,0.431,0.439,0.414,0.813,0.544,0.495,G,SO,0.2
Aaron Wiggins,448,OKC,2,55,2021,Maryland,2020-21,Maryland,0,31,30,1023,165,370,108,210,57,160,61,79,35,146,181,79,35,17,61,63,0.446,0.514,0.356,0.772,0.55,0.523,G,JR,1.2
Chris Duarte,445,IND,1,13,2021,Oregon,2020-21,Oregon,0,26,26,886,160,301,99,157,61,144,64,79,19,101,120,69,49,21,59,36,0.532,0.631,0.424,0.81,0.657,0.633,G,SR,0.9
Neemias Queta,433,SAC,2,39,2021,Utah State,2020-21,Utah State,0,29,29,871,167,299,167,297,0,2,99,140,83,211,294,77,31,97,69,69,0.559,0.562,0,0.707,0.592,0.559,C,JR,0.1
Jalen Suggs,431,ORL,1,5,2021,Gonzaga,2020-21,Gonzaga,0,30,30,868,155,308,120,204,35,104,86,114,18,142,160,136,57,10,88,78,0.503,0.588,0.337,0.754,0.595,0.56,G,FR,-1.6
Davion Mitchell,420,SAC,1,9,2021,Baylor,2020-21,Baylor,0,30,30,991,158,309,95,168,63,141,41,64,14,66,80,165,57,11,73,71,0.511,0.565,0.447,0.641,0.619,0.613,G,JR,0.1
Jeremiah Robinson-Earl,393,NYK,2,32,2021,Villanova,2020-21,Villanova,0,25,25,862,155,312,132,230,23,82,60,84,62,150,212,55,24,16,40,57,0.497,0.574,0.28,0.714,0.558,0.534,F,SO,1.5
Tre Mann,385,OKC,1,18,2021,Florida,2020-21,Florida,0,24,24,777,133,290,88,178,45,112,74,89,16,119,135,83,33,3,68,57,0.459,0.494,0.402,0.831,0.579,0.536,G,SO,0.1
Santi Aldama,361,UTA,1,30,2021,Loyola (MD),2020-21,Loyola (MD),0,17,17,595,135,263,103,176,32,87,59,86,31,141,172,39,17,29,55,32,0.513,0.585,0.368,0.686,0.594,0.574,F,SO,0.3
Franz Wagner,349,ORL,1,8,2021,Michigan,2020-21,Michigan,0,28,28,887,124,260,89,158,35,102,66,79,20,163,183,84,35,29,36,62,0.477,0.563,0.343,0.835,0.587,0.544,G,SO,4
Jaden Springer,313,PHI,1,28,2021,Tennessee,2020-21,Tennessee,0,25,15,648,106,227,86,181,20,46,81,100,26,62,88,73,30,11,60,51,0.467,0.475,0.435,0.81,0.57,0.511,G,FR,0
Keon Johnson,306,NYK,1,21,2021,Tennessee,2020-21,Tennessee,0,27,17,688,111,247,98,199,13,48,71,101,29,66,95,67,30,12,71,64,0.449,0.492,0.271,0.703,0.519,0.476,G,FR,-0.5
Isaiah Livers,301,DET,2,42,2021,Michigan,2020-21,Michigan,0,23,23,727,102,223,52,107,50,116,47,54,25,113,138,46,13,17,26,37,0.457,0.486,0.431,0.87,0.605,0.57,F,SR,0.7
Brandon Boston Jr.,287,MEM,2,51,2021,Kentucky,2020-21,Kentucky,0,25,24,759,103,290,73,190,30,100,51,65,33,79,112,40,33,4,36,49,0.355,0.384,0.3,0.785,0.447,0.407,G,FR,0.4
Trey Murphy III,282,MEM,1,17,2021,Virginia,2020-21,Virginia,0,25,20,739,96,191,44,71,52,120,38,41,15,70,85,30,20,11,19,49,0.503,0.62,0.433,0.927,0.67,0.639,G,JR,1.9
